Question,Answer
Is time heal everything?,"Time doesn't heal everything or wounds rather mind is time. Memories are something that is already dead but mind lingers on to memories.
Life is only here and now, past and future are in your mind.
When you start to live in now then your wounds disappear automatically."
Does an enlightened person know everything?,"Yes, he knows everything that is NOISE of mind and which keeps us away from enlightenment - the truth.
Karma, knowledge and devotion belong to noise.
Truth can't be said, silence can't be explained.
The moment truth is uttered it becomes a lie; the very utterance of truth falsifies it.
People keep collecting noise in the name of Vedas, Bible and Koran.
They don't contain the truth, truth has to be experienced first hand.
Even God is a ‘noise' regardless of God of form or formless God. Your prayers are noise.
Karma, knowledge and devotion are ‘doing’ and silence belongs to ‘non-doing'.
These are just games of mind and truth belongs to silence.
Like darkness is the absence of light, silence is the absence of noise.
Silence is emptiness, which is limitless and boundless."
What is one quality you admire in people?,"Doubtfulness,
Why?
Faith is very mundane but doubt is something you have to endure.
There is a fine line between Doubtfulness and doubts.
Having doubts is a common trait of humans.
But Doubtfulness is something entirely different.
Doubtfulness means I want to know, I want to experience what has been said.
Doubtfulness means if this is the truth then what is false and if what I know is the truth then what is false?
I say:-
Doubt everything till you find something you can't doubt."
"What is the spiritual significance of ""imagination""?","When people ask me - which one quality one should possess to attain enlightenment?
My answer has always been - “good Imaginative power”.
Humans are story animals and stories are the biggest hurdle to the truth.
Storytelling has been part of our human evolution.
Imagination helps you relive situations by listening to stories.
By reliving the experiences of others you get rare insights of truth.
All the misinformation (BS), fiction and conditioning can only be removed by stories and fiction.
It Takes A Thorn To Remove A Thorn.
Imagination and a good imaginative mind is the first quality one requires to attain enlightenment."
"Some people say that “no one is 100% healed because healing is linear”, but would the Buddha agree with that once enlightened?","Healing is linear if you make a point in your mind and aim for it just like learning is linear.
Everything in mind is linear. That is why the mind is single-tasking but existence is multitasking.
But if you see that endless time is mind, then you jump out of mind and everything becomes sudden and instant.
That is why enlightenment happens as an explosion and healing and learning happen as a quantum leap. Everything gets healed instantly like a sudden clash of thunder.
Beyond mind, there is no time and space there is only ‘ISNESS' or presence."
"If during meditation you reach a point of no thoughts, then how do you recognize that state without thinking?","No-mind happens in gaps between thoughts.
Mind is ‘thoughts'. The moment you recognize state of no-mind - you are already running the ‘thought' of being in a thoughtless state.
That is yet another ‘thought' only - hence the mind is already there.
No-mind happens when you witness your thoughts choicelessly.
And witnessing happens at three levels.
Witnessing your body senses.
Witnessing your emotions.
Witnessing your thoughts.
The purpose of witnessing is to leap into no-doing permanently - Samadhi.
Mind is ‘doing’ and meditation is ‘non-doing' (meditation/non-doing happens in gaps between thoughts). But you can't directly jump into non-doing.
Witnessing is the bridge between ‘doing' and ‘non-doing' or witnessing is half-doing.
In witnessing there is no object and consciousness itself becomes important. That choiceless consciousness is the bridge to non-doing -Samadhi.
What is the conclusion?
Just witness to reach the witness within you.
The day you reach the witness within yourself, you will reach the witness of this universe (some experience it as a GOD).
Witness of this universe is just awareness - the fabric of this universe."
"Once you have started liking spirituality in this lifetime & started working on it, do you always remain the same in all reincarnations following this lifetime?","Reincarnation is a fairy tale don't vouch for it.
We are organisms and we shall die someday.
Don't be involved in concepts of soul, reincarnation and god.
It is all about swear words till you experience them.
Look at yourself - do you ever want to be born again?
I shall never want to (at least not as a human)- in fact, nobody wants to or given a choice everybody would like to be reborn as Buddha or Bill Gates at the Max, not himself or herself.
Though everybody wants to be immortal.
The reason is we love this life. This life is beautiful in itself.
And
You are never born twice.
Longing for another life is phoney and It is better to enjoy this very life.
Moreover, enjoy this very moment.
There is nothing beyond, below and above - it is right here and now."
Is it possible that studying psychology I could unintentionally stop my awakening process?,"Physiologists are no good at handling the mind problems. They never get awakened.
Physiologists are yet another hoax.
Psychology is yet another hoax.
Because mind is the problem.
By studying psychology you are playing with the mind only. Though it will not stop the awakening process but it will delay the awakening process.
You can't fight mind with mind. PERIOD.
You need something beyond your mind.
What is beyond the mind?
The witness is beyond the mind because the witness is beyond the duality of the mind.
Whenever there is fear - just watch, just witness.
Whenever there is anger - just watch, just witness.
Whenever there is stress or resentment - just watch.
‘Watchfulness’ or ‘witnessing' is all you need to transcend the mind and beyond mind, blissfulness resides."
"Is it normal to feel sadistic on the path of awakening? I find enjoyment in telling people truths that would be painful for them and go against their beliefs. If I act on this urge, I get into drama, which my ego doesn’t particularly like.","It is natural to share rare insights with people as humans.
Sharing is one of the human traits.
But you are not sharing out of compassion - you are establishing yourself as a preacher.
You are deriving pleasure as being someone who knows more than others know.
Understand this - first, you help yourself and become comfortable with new insights then work towards your liberation.
""You are not there until you are there.""
And…..
Remember:-

Image Credit: google.in"
How do I criticise someone without hurting him/her?,"Never try to criticize anyone.
Just disagree!
And when you disagree, don't be disrespectful.
So…
Disagreeing without being disrespectful is a most respectable thing.
This way you remain yourself and being yourself is the most respectful thing and it is manageable and sane too.
But people love to criticize to prove they know more than you that satisfies their ego - ego needs struggle and approval.
Don't fuel their ego by arguing, just give a walkover and another person will stand lost and foolish - nothing to do.
I don't know how many of you will agree with me - but I disagree with you gracefully."
Is there a connection between shiny eyes and enlightenment?,"Yes, enlightened eyes are shiny and always fresh.
Look into the eyes of enlightened beings. The eyes of enlightened beings are directly connected to the soul.
The silence you feel in his presence and the stillness you see in his eyes is because of his direct connection with the soul.
And
Every soul is the heartbeat of the absolute that is why every soul is equally beautiful.
We come from the absolute one day we shall dissolve into absolute.
Eyes are not only doors to the soul it is the gate to absolute.

Image courtesy: Google"
Is it possible to have a big ego and not realise it?,"Ego or big ego or small ego are false notions.
There is no degree of ego - ego is just an inflated or deflated state of the false-self.
Ego is in very essence is mind's ‘I' - which is false.
Your true centre is your true-self - which is never-changing eternal - a face before your birth.
Until you find your true-self you will remain phoney - always hankering for this and that, struggling between me and you.
Life is a play and you are YO-YO.
How can I know my true self?
Fall in love - you will have glimpses of your true self.
Just watch a baby playing - suddenly you will have the glimpse of something divine.
Everything good and divine we know happens in the state of egolessness.
Love, devotion and compassion are the states of egolessness and also doors to your divine self - true self."
Could fear be ended completely?,"Absolutely No.
As a human fear is built into us as a protective system - Guess what will happen if you don't have fear and a truck is about to run over you.
Fight or flight is a response built into us for survival.
I haven't met anyone fearless in my life though I have met many ignorant fearless people. I have seen many daredevil fools too. No intelligent person can be recklessly fearless.
Fighting fear causes Schizophrenia.
It is perfectly okay to have fear. After all, we are humans. In fact, no organism on earth is fearless. Every living being is afraid of ‘death'. - be it ant, monkey or snake. Only dead things can be fearless.
What seems more practical - ‘fear' has be understood.
Understanding of fear brings a kind of balance in you.
And you can have the courage to face fear by understanding it.
The opposite of fear is not fearlessness. Opposite of fear is courage.
Courage is not fearlessness.
Courage is about moving into the unknown despite having fear and uncertainty.
Courage is about saying ‘Yes' and taking responsibility for the consequences.
Courage is about saying ‘No' and being ready for consequences.
Courage means living life by heart."
"Why do people often get opposed by their family, friends and other people after spiritual awakening?","Reason:- there is a difference between spirituality and religion.
Religion is a map (ideology) to lead a saintly life.
Spirituality is the path of liberation from religion and ideologies.
Christian will disagree with Hindus. Hindu will disagree with Muhammadans. Religion creates disagreements and split - duality.
A spiritual person will accept all other religions as a necessary part of life but a spiritual person denies religions as an only path - because he has to go beyond God and religions and find liberation. To him, all religions and ideologies are fetters - prisons.
The awakened person seems like a threat to religious beliefs hence he is opposed by family and society."
Is there a difference between meditating with your eyes closed & your eyes open?,"Meditation happens with closed eyes and mindfulness happens with open eyes.
The only purpose of meditation is to transcend the mind and become meditation.
Mind is ‘doing' and meditation is ‘non-doing'.
When you sit… just be sitting….
When you watch… just be watching…
When you walk… just be walking…..
When you eat… just be eating…….
When you always remain available to present moment, someday you become available to your eternal ‘IS-NESS'.
Then you don't even have to meditate for a single minute.
Your…
Walking becomes meditation. Eating becomes meditation. Talking becomes meditation.
You become meditation."
How do you know if you become enlightened? I know this might seem silly but like what if something happens when I’m meditating and I don’t know what it is and I get scared (I’m 21) but I do not know too much on this topic. Can someone explain? :),"First thing first - you will not have to ask this question about enlightenment on quora.
Enlightenment is not something you can miss noticing.
Enlightenment is something not even birds in the sky and animals grazing in the ground can miss.
Enlightenment happens when you are not and only this existence is.
The whole existence celebrates the Enlightenment - earth, stars, sky, sun and moon celebrating.
Because….
Enlightenment is the celebration of life beyond human suffering.
This is rare that Jesus, Buddha and Krishna happen and it is like a piece of sky walking on the earth.

Image Credit:google.in"
"Why, when I am watchful of my thoughts, do they disappear and fade away? Are they supposed to disappear while you are watching them, or am I doing it wrong?","Mind is noise. Mind is thought.
You just can't observe the absence of thoughts.
Who will observe?
The observer is the mind. Whenever there is a mind there is thought.
When you watch your thoughts without identifying with them your consciousness becomes choiceless, devoid of objects.
There are three states of Meditation:-
Alpha state:- when your consciousness becomes choiceless for outer objects and your body senses then the alpha state of meditation happens. There will be contents but the observer will stand aloof.
Theta state:- when your consciousness becomes choiceless for emotions also then Theta state of meditation happens. There will be rare insights.
Delta state: - When your consciousness becomes choiceless for thoughts (purified of body senses, outer distractions and emotions( emotions means past and future) also then Delta state of meditation happens. There will be absolutely nothing. This is called Turiya- The fourth.
When your consciousness is sterilised of outer disturbances, body senses, emotions and thoughts then your meditation happens. But thoughts will come and go. You will be moving between alpha, theta and delta states of mind before Samadhi.
When you watch/witness your thoughts choicelessly there are gaps between thoughts (this is where the meditation happens) and when you keep watching thoughts and emotions for months and years these gaps become longer and longer and one fine day one of the gaps becomes permanent and you enter the state of no-mind. One step more you enter SAMADHI - the turiya.
That is where an ‘observer is observed'.
Now, the mind doesn't remain the observer.
Consciousness splits into awareness and conscious mind
And
The awareness becomes an observer of the conscious mind and vice-versa.
Beyond Turiya there is one more state - Turiyatita - when the observer also disappears and only observing remains.
This is the point of no return - rare beings who attain it are known as ‘blue beings' like Shiva and Krishna.

Image Credit: google.in"
How can a monk have a family?,"You can call yourself a monk and have a family. It is that simple.
But neither ‘having family' nor ‘becoming a monk' will lead you to enlightenment.
Don't become a monk….
Birds remain birds, animals remain animals.
‘Becoming' is a disease of humans ( or rather human mind).
Humans want to become something, something else but humans. You are always busy ‘becoming' not ‘being'.
Some become Hindu, some become Christians, some become Buddhist.
Whether you become a monk in a monastery or you become pope at the Vatican.
You will remain someone else.
You can't realise your true-self by becoming someone else.
You become your true-self by becoming No-One, Nobody.
EMPTINESS is your nature."
How can one become a monk without leaving his family?,"Don't become a monk….
Birds remain birds, animals remain animals.
‘Becoming' is a disease of humans (or rather human mind).
Humans want to become something, something else but humans. You are always busy ‘becoming' not ‘being'.
Some become Hindu, some become Christians, some become Buddhist.
Whether you become a monk in a monastery or you become pope at the Vatican.
You will remain someone else.
You can't realise your true-self by becoming someone else.
You become your true-self by becoming No-One, Nobody.
EMPTINESS is your nature."
What is the relationship between rapid personality change and psychological rebirth?,"As humans, we are born with the possibility - the possibility to attain expansion of consciousness as vast as cosmic consciousness.
Cosmic consciousness is the most creative force in the universe. It is as creative as the beauty of our planet earth and as complex as this creation.
Our consciousness is the prisoner of our ego ( mind's ‘I') which is formed during our growing years and which is subjected to social, religious and political conditioning.
The magic of human consciousness is that it can break the prison of ego and expand limitlessly which can be referred to as rapid personality change or transmutation.
Death of ego is called psychological death and psychological death is also the rebirth of a new consciousness (enlightened) which is free and more compassionate about life and humans."
Can consciousness know itself?,"What is consciousness?
Consciousness = conscious mind + awareness.
Awareness is a non-dualistic part of our consciousness. Which is ‘isness'.
Yes, consciousness can know itself. As awareness is the witness of everything happening now and here, awareness can witness conscious mind and vice-versa. That means part of consciousness can know other part of consciousness.
This very quality of consciousness is the reason for our free will.
This very quality of consciousness is the reason for the enlightenment in humans which is not available to any species on earth."
"If the entire universe is a coincidence/a thing that came out of nothing, why haven't we seen anything else that came out of nothing to prove it?","There are things we know. There are things we know that we don't know, there are things we don't know that we don't know yet there are things unknowable.
A part of the universe will remain unknowable because existence is ever-changing and that is where mysticism is.
To know the answer to this question you need to go beyond the mind.
The mind has to know things by what it already knows. This is the limitation of the mind. The mind has to work with what it knows to know new things.
And
Answers to the unknowable reside in absolute truth, not at anything short of it.
The day you reach absolute truth you will have answers only because existence has answers only.
Mind is a question. Existence is the answer."
My aunt is involving his 16-year-old son into Bhrama Kumari preachings and also sent him to a 7-day Rajyog course in Mount Abu. I am a bit worried. Is it the right thing to do?,"This is simply inhumane - how can you send someone as innocent as 16-years old for conditioning-CAGE?
He has not seen life yet. He is dependent on his parents. This is exploitation.
But I will not blame the mother because she must have had the desire for enlightenment. Now she is projecting her desire on her son.
It is sad how we destroy the innocence of our kids by imposing our desires on them.
One as a parent should understand giving birth to a kid is not life.
Life springs out of freedom.
Let him choose what he wants to do. He may not be right. We all make mistakes.
Mistakes are not bad but if you don't learn from them that is immaturity.
Life happens - No one should plan for it especially your life should not be planned by others."
Why does one suffer from depression after enlightenment?,"This is really something everyone should understand.
After enlightenment, nobody can suffer from depression.
Enlightenment is the permanent blissful nature of our being. Enlightenment is not a state.
Enlightenment is the point of no return.
But yes before opening the seventh and eighth Chakra kundalini can go dormant.
If somebody is facing depression and negative emotions - he/she is yet to realise his true-self.
It is kind of going in and coming out of no-mind. It can happen in the case of opening the fifth chakra.
Turiya is permanent - Turiya is beyond human consciousness.
Enlightenment means going beyond everything you know as life."
"Is enlightenment something that can be worked for, or is it only for the ""chosen one""?","Mahavir said - you should strive for enlightenment until you desire how can you know what you want?
There is time you should make a resolution and be determined to achieve enlightenment.
This is where one-pointedness is required.
Buddha said - you can reach enlightenment by being desireless and detached from the world - Vairagya and Sannyas are to be practised.
Still, there is the time when your desire to be desireless as the last desire has to be dropped. But this moment of utter desirelessness happens on its own here no method can work.
Now essentially enlightenment can be worked for to an extent. Even if you don't reach, your consciousness will expand exponentially.
And
It is better to have tried to attain enlightenment than to die regretting not having tried.
Remember it is always the journey that matters not the destination."
Is “brutally honest” an oxymoron?,"Of course. “Brutally honest” is an oxymoron.
Honest means living an authentic life. What is - what is……
If one thinks he is being brutally honest that is the way of ego. Ego loves oxymorons.
Ego loves conflicts and ‘brutally honest' is a beautiful conflict-creating oxymoron.
One who lives authentic life doesn't have to be honest also. He will live out of truth without thinking about any other way to live life."
"All spiritual gurus say to forgive people for your own sake, but does everyone really deserve forgiveness?","To understand ‘forgiveness' we have to understand ‘unforgiveness'.
‘Unforgiveness' is part of your ego. Ego needs conflict to survive.
Ego means misery - you can't forgive if you try to forgive - all you can do is to understand the stupidity of the whole game played by the mind as ego.
All that good we know as love, devotion and compassion are the states of egolessness.
The point is not to forgive, point is to forget so you become open to bliss. If you keep clinging to the person, you keep clinging to the past.
Yes, sometimes it is really hard to forgive someone but if you keep adding undeserving people to your list, your list will grow and then you will start living your life in past.
To forget you need to forgive so that you become clean of the cluttered past and become available to this very moment of joy.
Because…….
Life happens now and here."
"As Isha's IT team reported/restricted my last question, asking it again … Is Sadhguru or isha yoga is dissolving our energies and is it an irreversible process?","There is no such thing as dissolving energies - there is one energy and different manifestations.
That which is available for procreation is also used as lovemaking for fun.
The same energy is used as love for the lady and compassion for kids.
Yet another usage is devotion to God.
But when it is used as devotion to master and the master is a charlatan or someone not enlightened then this is the source of your misunderstanding and exploitation.
You are taken for the ride for personal benefits.
You should understand one thing only - enlightenment is your possibility and it should start with doubts, not faith.
Doubt everything till you find TRUTH you can't doubt.
PS : ‘Dissolving energies into nothingness' is a thought and also a recipe for Schizophrenia."
Do any Buddhists Practice Hindu Hathayoga?,"No, in fact - Hathayoga is like trying to fuel JET by horses.
Our body has evolved enormously what was effective 10000 years ago is no more effective to modern man.
There was the time our centre was navel at that time kriya yoga/yoga was enough for self-realization.
Then came the time when our heart became the centre then Bhakti Marg was the effective path.
2500 years ago our centre became mind then Dhyan Marg was effective - the time of Buddha.
In the last few centuries, our centre is way beyond head and heart - Now only Gyan Marg is valid.
Or
A combination of all paths will work."
I'm a 21-year-old Hindu and I want to convert to Buddhism. What will be the changes in my life if I do so?,"Religion is prison. How does it matter prison is made of iron or gold?
The grass is greener on the other side. There is not much difference between all religions - Every religion is a pond and you deserve the ocean.
Either you plop plop in the old or new pond or you can dive into the deep sea.
Either you remain caged or you can soar into the sky.
This journey to freedom will be arduous but the joy of the journey is determined by its complexity, hardships.
Remain Hindu and enjoy life.
Or start the journey to the divine. Become Buddha, don't be Buddhist."
What is the significance of asanas and pranayam for enlightenment?,"Nothing - Asanas and Pranayam are good for the body - body and mind are same thing and ‘doing’ is mind.
And
Enlightenment is beyond mind. In other words, until and unless you drop ‘doing’ and get rooted in ‘non-doing' you will not realise your soul.
What is good for the body is bad for the soul and what is good for the soul is bad for the body.
We need a balance like walking on a tight rope. Balancing right and left using a pole.
That means there is a place for yoga when you start your journey and there will be the time you have to drop yoga also.
After enlightenment yoga is good to keep your body healthy and energy pure."
"Is Sri Nisargadatta Maharaj’s “I am,” Krishnamurti’s “choice-less awareness” and E. Tolle’s “the power of Now”——all attempting to teach the same exact thing?","Sri Nisargadatta Maharaj’s “I am,” Krishnamurti’s “choiceless awareness” and E. Tolle’s “the power of Now”——all are pointing to ‘isness' which is beyond the mind.
But all are direct approaches like Raman Maharishi’s - “Who am I?”.
These devices don't work standalone - you need the presence of a master or indirect methods like short stories, Koans and riddles.
Because when the finger is pointing to the moon then the mind looks at the finger, not the moon. This is the nature of the mind. This is the mischief of mind. The mind always takes shortcuts.
The mind has to be told 10000 times and in 10000 ways before it understands the subtext message lurking in words.
All-methods-combined works better than individual methods."
Can women achieve enlightenment?,"Yes, but after the mensuration phase, maybe around 50.
Why?
Before enlightenment, one has to become non-being for many months and mensuration is the reason women can't be non-being, they become conscious of their being every month.
Tao tantra can be used to stop mensuration but I find it unnatural.
For more information about mensuration read RTU VIDYA by Sinu Joseph."
Is Sadhguru a bluff-master?,"He is not bluffing - the fact is he is not enlightened.
What he is talking is normal motivational speech.
He copied most of the things (jokes and stories) from osho and he did it very badly.
He has a little knack of fiction writing and he is nowhere near Enlightenment.
Every enlightened master has his own unique way - but he is more of a charlatan copying the dress-up from Osho (enlightenment is about being original, authentic).
He is just a normal guy with few spiritual experiences and copying Osho and talking in circles only.
Don't give heed to all these run out of mill spiritual masters."
When will Sadhguru take Mahasamadhi?,"Don't worry - when death will come it will be called as his mahasamadhi.
There is no such thing as mahasamadhi it is just a word used by the enlightened people to assure that there is something beyond death.
GET IT STRAIGHT - it is just a WORD.
We all are organisms just like fish, birds and animals with the better brain.
Reincarnation, rebirth and God are devices to attain enlightenment.
The only thing real in spirituality is enlightenment - which is far away from Jagi."
"Why don't people realize the bluffing of Sadhguru about deeper dimensions of life, spiritual growth that he is talking for about 30 years? Has anyone experienced those?","He is not bluffing - the fact is he is not enlightened.
What he is talking is normal motivational speech.
He copied most of the things (jokes and stories) from osho and he did it very badly.
He has a little knack of fiction writing and he is nowhere near Enlightenment.
Every enlightened master has his own unique way - but he is more of a charlatan copying the dress-up from Osho.
He is just a normal guy copying Osho and talking in circles only.
Don't give heed to all these run out of mill spiritual masters."
How do philosophers and early physiologists explain the mind-body problem?,"Philosophers and physiologists are no good at handling the mind problems.
Because mind is the problem.
You can't fight mind with mind. PERIOD.
You need something beyond your mind.
What is beyond the mind?
The witness is beyond the mind because the witness is beyond the duality of the mind.
Whenever there is fear - just watch, just witness.
Whenever there is anger - just watch, just witness.
Whenever there is stress or resentment - just watch.
‘Watchfulness’ or ‘witnessing' is all you need to transcend the mind and beyond mind, blissfulness resides."
"Why did the tradition of great spiritual gurus like Dayanand Sarasvati, Ramakrishna, Vivekananda, Aurobindo, Tagore, Ramana Maharshi, etc. suddenly stop after 1950?","All the people you mentioned were on the path to self-realization.
Out of all those you mentioned only Raman Maharishi and Ramakrishna(later in his life) were realised ones.
And all others are just footsteps for any novice who can walk into their footsteps but they were not realised one.
Though they were great intellectuals."
"Sadhguru says, ""Fear, anger, resentment, and stress are poisons you create. If you take charge, you can create a chemistry of blissfulness within yourself."" Do you agree with the statement?","Absolutely Not,
Fear, anger, resentment and stress are not the problem.
Your identification with these emotions is the problem.
All these are constituents of your mind or rather all these and opposites of these make your mind.
You can't fight mind with mind. PERIOD.
You need something beyond the mind.
What is beyond the mind?
The witness is beyond the mind because the witness is beyond the duality of the mind.
Whenever there is fear - just watch, just witness.
Whenever there is anger - just watch, just witness.
Whenever there is stress or resentment - just watch.
‘Watchfulness’ or ‘witnessing' is all you need to transcend the mind and beyond mind, blissfulness resides."
"After understanding samadhi, my question is what is the process of Mahasamadhi by will, where I sit in a place and within 21 minutes, I leave this body permanently?","There is no such thing as Mahasamadhi.
Though it is possible to leave the body at will by someone who is enlightened.
Nirvikalpa Samadhi is so intense if one will remain in it for more than 21 days he will die as the brain can't take the high blood pressure and the heart can't take high heartbeats for longer than 21 days.
There is a physical limitation of the body. 90% of the time as soon as one enters Nirvikalpa Samadhi, he dies.
When Buddha was dying his disciple asked him - where will you be after death?
Buddha had to use some words - he said I will attain mahasamadhi.
Mahasamadhi literally means death.
Disciples asked, “Will you be somewhere? Maybe in Nirvana?”
Buddha said - being somewhere means slavery.
Everybody is born awakened and dies enlightened - Very few live enlightened."
Are most enlightened persons bald?,"
Lao Tzu

Bodhidharma

Dōgen Kigen

George Gurdjieff

Osho
Image Credit : google.in"
What is the difference between satori and nirvana?,"Satori is a glimpse of awakening.
Satori happens on the opening of the heart chakra.
When the heart chakra is opened then sometimes in great relaxation or devotion energy moves to the third eye and one starts to have short glimpses (Satori) of Awakening.
If you remain aware and alert then someday Satori will become awakening and awakening will become enlightenment.
Satori happens mainly in Zen tradition because they use koans and riddles as device.
Nirvana and enlightenment are the same, it is a matter of using negative or positive language.
Nirvana means blowing out the flame of desires and attachments - what remains is ‘isness'."
